Firmware Version,Version 2.3 (13),System S/N,200-10008,Associated XDR,12398-1004,,Gain Pot Settings:,A:,7,B:,6,C:,5,D:,5,,,,,,,,,,,,,,,,,,
Date,Time,Log Type,Unit State,Electrical Energy (J),Time Setting (s),Electrical Power (W),Sonication Mode,Error/Reason,Chan A FWD,Chan A REV,Chan B FWD,Chan B REV,Chan C FWD,Chan C REV,Chan D FWD,Chan D REV,LCD Working?,Panic SW Open?,Unit Temperature (C),Cal Factor (A),Cal Factor (B),Cal Factor (C),Cal Factor (D),Delivered Acoustic Energy (J),,Base Ticks (A),Adj Ticks (A),Base Ticks (B),Adj Ticks (B),Base Ticks (C),Adj Ticks (C),Base Ticks (D),Adj Ticks (D)
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.95,0.09,6.79,0.12,6.36,0.11,6.56,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,102.99,,1421,18,1352,32,1299,90,1343,12
8/20/2021,14:21:58,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.06,0.09,6.66,0.1,6.31,0.09,6.49,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,104.48,,1421,17,1352,32,1299,91,1343,12
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,7,0.08,6.65,0.1,6.25,0.1,6.49,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,105.96,,1421,16,1352,32,1299,92,1343,12
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.03,0.09,6.66,0.12,6.15,0.1,6.44,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,107.43,,1421,15,1352,32,1299,93,1343,12
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.58,0.08,6.76,0.1,6.15,0.09,6.37,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,108.88,,1421,15,1352,32,1299,94,1343,13
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.67,0.08,6.77,0.11,6.23,0.1,6.48,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,110.35,,1421,15,1352,32,1299,95,1343,13
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.79,0.09,6.85,0.12,6.34,0.1,6.53,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,111.84,,1421,15,1352,32,1299,96,1343,13
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.95,0.08,6.77,0.1,6.4,0.09,6.52,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,113.33,,1421,14,1352,32,1299,97,1343,13
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.87,0.08,6.72,0.11,6.29,0.11,6.55,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,114.82,,1421,14,1352,32,1299,98,1343,13
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.93,0.09,6.66,0.11,6.16,0.1,6.56,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,116.29,,1421,13,1352,32,1299,99,1343,13
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.61,0.08,6.74,0.1,6.2,0.1,6.36,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,117.75,,1421,13,1352,32,1299,100,1343,14
8/20/2021,14:21:59,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.7,0.09,6.78,0.12,6.27,0.1,6.52,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,119.22,,1421,13,1352,32,1299,101,1343,14
8/20/2021,14:22:00,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.78,0.08,6.88,0.1,6.37,0.09,6.54,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,120.71,,1421,13,1352,32,1299,102,1343,14
8/20/2021,14:22:00,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.83,0.08,6.74,0.11,6.4,0.11,6.53,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,122.2,,1421,13,1352,32,1299,103,1343,14
